	sp_id	latitude	longitude	size
63	64	53.256297338385	50.215714404996	440
64	65	53.2259148901572	50.2393203375692	733
65	66	53.2230166	50.26311475	441
66	67	53.1384073310777	50.2365575646316	361
67	68	53.29678185	50.28962255	493
68	69	53.222936699525	50.2190354809976	877
69	70	53.2083699016385	50.1603580553244	354
70	71	53.1193672333333	50.078496	255
71	72	53.2366184418456	50.2323090830157	925
72	73	53.2372648119614	50.2310423685829	74
73	74	53.2085313621966	50.2157153917997	765
74	75	53.201636814571	50.2505928605967	771
75	76	53.2242768840502	50.2623119253606	602
76	77	53.1949562295217	50.1762711179637	800
77	78	53.2087559375887	50.1770169725325	551
78	79	53.3175855804774	50.3145461026225	609
79	80	53.2065511780326	50.163464132116	885
80	81	53.2316051402645	50.2495627103338	862
81	82	53.1828518767556	50.1003830604927	196
82	83	53.2109837132665	50.1229004970179	537
83	84	53.204407027392	50.1256973535255	769
84	85	53.2121113486582	50.1344954516069	833
85	86	53.2136583064229	50.1329670681996	697
86	87	53.2034518057361	50.1336272164616	661
87	88	53.2256133589729	50.2064447664954	986
88	89	53.2282935258539	50.2163373643583	257
89	90	53.2295322935852	50.2178478319065	398
90	91	53.2388019240236	50.2521077044435	94
91	92	53.2302102734278	50.2603132191483	70
92	93	53.2434847565382	50.2427240565142	413
93	94	53.235388757247	50.2491760247627	201
94	95	53.2292862029002	50.2516260483106	748
95	96	53.2309147015388	50.2563144669377	751
96	97	53.2161478169935	50.2508886476127	281
97	98	53.1902250771891	50.1283904318001	924
98	99	53.1939306921253	50.1382322562336	200
99	100	53.1916077	50.12296275	338
100	101	53.19613765232	50.1294826646388	293
101	102	53.1891208570091	50.1404206598312	437
102	103	53.2164676072586	50.1655430614391	518
103	104	53.1996533709686	50.1603216004863	611
104	105	53.1950701	50.11990645	717
105	106	53.1972518581818	50.1077202283346	613
106	107	53.2019308309142	50.1150462875385	113
107	108	53.1849851484366	50.1452725667038	245
108	109	53.1797563844082	50.0814770610714	353
109	110	53.1849967397688	50.0854649446767	299
110	111	53.1843661675827	50.0909723642233	953
111	112	53.1816469	50.0847143	615
112	113	53.1908540121234	50.0919245954124	706
113	114	53.1963303399442	50.0997082557126	654
114	115	53.1992268588222	50.1014581596552	375
115	116	53.1851482596326	50.0786358913966	643
116	117	53.2136835248325	50.137586930291	417
117	118	53.1969846746915	50.1688268102077	603
118	119	53.2089512050116	50.1915938800455	206
119	120	53.2014977515329	50.1926277857301	124
120	121	53.1997963947681	50.2019054239809	254
121	122	53.2431895369561	50.1732634815335	92
122	123	53.2079565641168	50.1405954354734	580
123	124	53.2125044996611	50.1634877057889	473
124	125	53.2037042781921	50.2127089662049	689
125	126	53.2070174113063	50.2168836368056	482
126	127	53.2194020374623	50.2103041745683	237
127	128	53.2128760925233	50.2306554015391	273
128	129	53.2173334	50.24410255	246
129	130	53.2191553835242	50.2586418082525	199
130	131	53.2220327340706	50.2471175969396	721
131	132	53.2434156829151	50.2365651370739	884
132	133	53.2396078125683	50.2514961851075	506
133	134	53.2487953851993	50.2537136071563	54
134	135	53.2214705594218	50.2262270437818	812
135	136	53.2240996938609	50.2357758860021	132
136	137	53.2291100036742	50.2321156729348	845
137	138	53.2164190647957	50.2592817611177	655
138	139	53.218101359861	50.2687889388764	93
139	140	53.2251765	50.27793805	411
140	141	53.2132038012789	50.252550966954	938
141	142	53.2090364	50.2493919	780
142	143	53.20702465	50.24480075	854
143	144	53.2059545522939	50.2415011369936	822
144	145	53.194476403141	50.1942382244603	576
145	146	53.19278649032	50.1941949736718	488
146	147	53.1995596210424	50.2150274104034	674
147	148	53.2001889525368	50.2166458742102	614
148	149	53.1964547333688	50.2186446466829	786
149	150	53.199271781067	50.2224499895452	378
150	151	53.2004451596151	50.2288824978427	257
151	152	53.2083234524555	50.2365418289995	893
152	153	53.2139893931722	50.2432458858174	389
153	154	53.234054409041	50.2824636240537	885
154	155	53.23655335	50.28003665	788
155	156	53.2451147501566	50.264777233406	532
156	157	53.2429376720318	50.2597620164508	654
157	158	53.2515010927104	50.263540955683	201
158	159	53.2523318099364	50.2506360733466	847
159	160	53.2529827122914	50.2420763659117	887
160	161	53.2544983967776	50.2402530807902	442
161	162	53.25632234855	50.2384984656804	56
162	163	53.2501520047987	50.2329258637849	836
163	164	53.2487057796469	50.2339585829312	284
164	165	53.245856	50.2237691	977
165	166	53.2387215172803	50.2200128245101	722
166	167	53.240691970882	50.2171384492748	288
167	168	53.2357373766693	50.213013025136	467
168	169	53.2388210654754	50.2107610839656	420
169	170	53.2368168783572	50.206722344088	829
170	171	53.2288378457809	50.2784166000408	269
171	172	53.2161534629651	50.268538585666	419
172	173	53.2616289182892	50.219923006931	503
173	174	53.25907365	50.2298699	646
174	175	53.2463817671873	50.1964731940202	488
175	176	53.239581785742	50.1919233247342	734
176	177	53.2435456304883	50.1917341186344	691
177	178	53.2439497443163	50.1811695805325	883
178	179	53.1818253	50.20071565	519
179	180	53.2657185738886	50.1887796396611	449
180	181	53.2263842	50.25190075	727
181	182	53.1839069755963	50.2424226057388	134
182	183	53.2018055094463	50.2859970425202	132
183	184	53.2442362763228	50.320436078744	689
184	185	53.2306219631482	50.3069188359817	886
185	186	53.2087436	50.24269205	590
186	187	53.34182605	50.22308055	805
187	188	53.3422968439354	50.22028971882	962
188	189	53.3488686044618	50.2234973260897	322
189	190	53.3453206864361	50.2132749274262	957
190	191	53.3441494321432	50.2261010456191	911
191	192	53.2807263249707	50.2701971201051	655
192	193	53.3701098653524	50.1829063532621	927
193	194	53.3751805614624	50.186102993169	740
194	195	53.3872349794863	50.1687127884682	746
195	196	53.39012505	50.1685613	802
196	197	53.12040865	50.08960665	259
197	198	53.1158692623472	50.0833218096777	909
198	199	53.116420014951	50.0822625130204	97
199	200	53.11363425	50.0717622	227
200	201	53.1042219174747	50.0326925103072	341
201	202	53.1435130151371	50.0420983885873	736
202	203	53.1576608317133	50.0872248119385	195
203	204	53.1553585867404	50.0795397969917	316
204	205	53.1889556995102	50.1138992148274	636
205	206	53.1386740295173	50.1522659011281	124
206	207	53.1541901301037	50.0799281697745	777
207	208	53.1338279429015	50.0925957599057	121
208	209	53.2125311507856	50.2435242288934	398
209	210	53.2122655492502	50.2424913183415	459
210	211	53.2290896599473	50.2321359345409	194
211	212	53.1386881427156	50.1288731576188	846
212	213	53.254664705006	50.2143363679451	465
213	214	53.2454949357516	50.1788696852125	871
214	215	53.3070664376726	50.2809700255444	399
215	216	53.2484334678457	50.2339580673968	109
216	217	53.1975412779315	50.1803374737853	308
217	218	53.1923624689661	50.1079525643338	861
218	219	53.1970142571151	50.1702393894889	498
